BRDCST_DE,CHNNEL_NM,PROGRM_BEGIN_TIME,PROGRM_END_TIME,PROGRM_NM,PROGRM_DC,BRDCST_TME_NM,PROGRM_BRDCST_AREA_NM,BRDCST_TIME,PROGRM_GENRE_LCLAS_NM,PROGRM_GENRE_MLSFC_NM,PROGRM_GENRE_SCLAS_NM,MALE_4_9YO_WTCHNG_RT,MALE_N10S_WTCHNG_RT,MALE_N20S_WTCHNG_RT,MALE_N30S_WTCHNG_RT,MALE_N40S_WTCHNG_RT,MALE_N50S_WTCHNG_RT,MALE_N60S_ABOVE_WTCHNG_RT,FEMALE_4_9YO_WTCHNG_RT,FEMALE_N10S_WTCHNG_RT,FEMALE_N20S_WTCHNG_RT,FEMALE_N30S_WTCHNG_RT,FEMALE_N40S_WTCHNG_RT,FEMALE_N50S_WTCHNG_RT,FEMALE_N60S_ABOVE_WTCHNG_RT,CST_CN
20200601,KBS1,203110,205920,기막힌유산,,31회,전국,002810,드라마&영화,드라마,일일연속극,2.05956,1.94973,2.57944,4.8696,2.00248,8.53341,24.26165,5.45729,2.33589,2.07017,6.1147,6.74687,14.55336,29.35009,"부영배역:박인환,공계옥역:강세정,부설악역:신정윤,부백두역:강신조,윤민주역:이아현,부금강역:남성진,신애리역:김가연,정미희역:박순천,김용미역:이응경,부한라역:박신우,성판금역:조양자,부가온역:김비주,부태희역:김연지,부혜교역:김효경,부지현역:강유라,공소영역:김난주,이장원역:이일준,김수민역:조서후,김종두역:이춘식,차정건역:조순창,이청아역:정서하,손보미역:박민지,김영지역:주민하,강선희역:박현정,천호식역:백신,이정태역:노상보,고향숙역:박소정"
20200601,KBS2,090512,093230,기막힌유산,,30회,전국,002718,드라마&영화,드라마,일일연속극,1.68672,1.73345,0.25718,0.75066,1.30339,2.43546,3.8759,1.19816,0.09482,0.49844,1.01721,2.92202,2.74065,3.73673,"부영배역:박인환,공계옥역:강세정,부설악역:신정윤,부백두역:강신조,윤민주역:이아현,부금강역:남성진,신애리역:김가연,정미희역:박순천,김용미역:이응경,부한라역:박신우,성판금역:조양자,부가온역:김비주,부태희역:김연지,부혜교역:김효경,부지현역:강유라,공소영역:김난주,이장원역:이일준,김수민역:조서후,김종두역:이춘식,차정건역:조순창,이청아역:정서하,손보미역:박민지,김영지역:주민하,강선희역:박현정,천호식역:백신,이정태역:노상보,고향숙역:박소정"
20200601,KBS2,110309,120123,본어게인,<21회/22회>,21회/22회,전국,005814,드라마&영화,드라마,미니시리즈,0,0.01973,0,0.11662,0.01103,0.17478,0.34257,0,0.00628,0.1225,0.11357,0.29507,0.19481,0.57915,"공지철역:장기용,천종범역:장기용,정하은역:진세연,정사빈역:진세연,차형빈역:이수혁,김수혁역:이수혁,장혜미역:김정난,천석태역:최광일,주인도역:장원영,백상아역:이서엘,서태하역:최대철,서영역:한해림,제이역:차민지,공인우역:정인겸,장혜미역:위지연,천석태역:조덕회"
20200601,KBS2,121243,131043,본어게인,<23회/24회>,23회/24회,전국,005800,드라마&영화,드라마,미니시리즈,0,0,0,0.14643,0.21168,0.21414,0.67488,0.1372,0.02756,0.24561,0.06347,0.25152,0.30527,0.98923,"공지철역:장기용,천종범역:장기용,정하은역:진세연,정사빈역:진세연,차형빈역:이수혁,김수혁역:이수혁,장혜미역:김정난,천석태역:최광일,주인도역:장원영,백상아역:이서엘,서태하역:최대철,서영역:한해림,제이역:차민지,공인우역:정인겸,장혜미역:위지연,천석태역:조덕회"
20200601,KBS2,194851,202330,위험한약속,,44회,전국,003439,드라마&영화,드라마,일일연속극,1.04453,1.74789,2.46545,4.07002,2.10468,5.9725,16.09622,1.67221,1.00896,1.54414,4.42523,5.04101,10.81621,19.59938,"차은동역:박하나,강태인역:고세원,최준혁역:강성민,오혜원역:박영린,한지훈역:이창욱,차만종역:이대연,차은찬역:유준서,공영심역:유지연,봉석구역:현우섭,강일섭역:강신일,연두심역:이칸희,한광훈역:길용우,한서주역:김혜지,최명희역:김나운,고재숙역:윤복인,최영국역:송민형,민주란역:오영실,최준경역:이효나,이창욱역:김정운"
20200601,KBS2,220050,223259,본어게인,<25회>,25회,전국,003209,드라마&영화,드라마,미니시리즈,0,1.14605,0.42759,0.69395,1.0146,0.7114,1.10514,0.61381,0.47729,0.26763,1.15805,1.73397,1.9253,1.45207,"공지철역:장기용,천종범역:장기용,정하은역:진세연,정사빈역:진세연,차형빈역:이수혁,김수혁역:이수혁,장혜미역:김정난,천석태역:최광일,주인도역:장원영,백상아역:이서엘,서태하역:최대철,서영역:한해림,제이역:차민지,공인우역:정인겸,장혜미역:위지연,천석태역:조덕회"
20200601,KBS2,223413,230616,본어게인,<26회>,26회,전국,003203,드라마&영화,드라마,미니시리즈,0,0.77355,0.2375,0.87591,0.77966,1.69934,1.19774,0.12549,0.10635,0.3541,0.83174,2.73291,2.64442,2.05642,"공지철역:장기용,천종범역:장기용,정하은역:진세연,정사빈역:진세연,차형빈역:이수혁,김수혁역:이수혁,장혜미역:김정난,천석태역:최광일,주인도역:장원영,백상아역:이서엘,서태하역:최대철,서영역:한해림,제이역:차민지,공인우역:정인겸,장혜미역:위지연,천석태역:조덕회"
20200601,MBC,020000,021855,저녁같이드실래요,<3회>,3회,전국,001855,드라마&영화,드라마,미니시리즈,0,0,0.08806,0.01308,0.1487,0.7098,0.46361,0,0,0.51828,0,1.37761,0.36652,0.39767,"김해경역:송승헌,우도희역:서지혜,정재혁역:이지훈,진노을역:손나은,남아영역:예지원,키에누역:박호산,박진규역:고규필,강건우역:이현진,이병진역:김서경,임소라역:오혜원,김정환역:안태환,이문정역:전국향,전성자역:윤복인,이영동역:김정현,이은서역:서은수,푸드트럭총각역:이시언,태진아역:태진아,환자역:박산다라"
20200601,MBC,021905,025412,저녁같이드실래요,<4회>,4회,전국,003507,드라마&영화,드라마,미니시리즈,0.04163,0.00489,0.13729,0.06747,0.24199,0.79997,0.44043,0.04008,0.06553,0.49559,0.06018,1.02075,0.4665,0.41873,"김해경역:송승헌,우도희역:서지혜,정재혁역:이지훈,진노을역:손나은,남아영역:예지원,키에누역:박호산,박진규역:고규필,강건우역:이현진,이병진역:김서경,임소라역:오혜원,김정환역:안태환,이문정역:전국향,전성자역:윤복인,이영동역:김정현,이은서역:서은수,푸드트럭총각역:이시언,태진아역:태진아,환자역:박산다라"
20200601,MBC,104548,110032,저녁같이드실래요,<3회>,3회,전국,001444,드라마&영화,드라마,미니시리즈,0,0,0,0.28681,0.39982,0.43745,0.45153,0,0,0.03732,0.34018,0.18854,1.02025,0.94904,"김해경역:송승헌,우도희역:서지혜,정재혁역:이지훈,진노을역:손나은,남아영역:예지원,키에누역:박호산,박진규역:고규필,강건우역:이현진,이병진역:김서경,임소라역:오혜원,김정환역:안태환,이문정역:전국향,전성자역:윤복인,이영동역:김정현,이은서역:서은수,푸드트럭총각역:이시언,태진아역:태진아,환자역:박산다라"
