BRDCST_DE,BRDCST_END_DE,CHNNEL_NM,PROGRM_BEGIN_TIME,PROGRM_END_TIME,PROGRM_NM,PROGRM_DC,BRDCST_TME_NM,PROGRM_BRDCST_AREA_NM,BRDCST_TIME,PROGRM_GENRE_LCLAS_NM,PROGRM_GENRE_MLSFC_NM,PROGRM_GENRE_SCLAS_NM,MALE_4_9YO_WTCHNG_RT,MALE_N10S_WTCHNG_RT,MALE_N20S_WTCHNG_RT,MALE_N30S_WTCHNG_RT,MALE_N40S_WTCHNG_RT,MALE_N50S_WTCHNG_RT,MALE_N60S_ABOVE_WTCHNG_RT,FEMALE_4_9YO_WTCHNG_RT,FEMALE_N10S_WTCHNG_RT,FEMALE_N20S_WTCHNG_RT,FEMALE_N30S_WTCHNG_RT,FEMALE_N40S_WTCHNG_RT,FEMALE_N50S_WTCHNG_RT,FEMALE_N60S_ABOVE_WTCHNG_RT,CST_CN
20210901,20210901,KBS1,203112,205919,속아도꿈결,,98회,전국,002807,드라마&영화,드라마,일일연속극,1.91121,3.1503,2.09781,3.07116,3.49764,5.7883,17.46663,1.01454,1.30062,1.51997,3.11875,4.5539,12.46363,18.90274,"금종화역:최정우,강모란역:박준금,금상백역:류진,인영혜역:박탐희,금상구역:임형준,오민희역:윤해영,금상민역:이태구,한그루역:왕지혜,한다발역:함은정,민가은역:주아름,최지완역:박재정,현시운역:주종혁,금민아역:김인이,금인서역:옥진욱,민솔역:이고은,최이재역:서우승,기유영역:양소민,임헌역:조한결,이제문역:유장영"
20210901,20210901,KBS2,092259,095100,속아도꿈결,,97회,전국,002801,드라마&영화,드라마,일일연속극,0.26859,0.32676,0.22904,0.50181,0.3768,1.9705,1.25558,0,0.55388,0.33854,0.13986,0.56691,2.02778,1.94509,"금종화역:최정우,강모란역:박준금,금상백역:류진,인영혜역:박탐희,금상구역:임형준,오민희역:윤해영,금상민역:이태구,한그루역:왕지혜,한다발역:함은정,민가은역:주아름,최지완역:박재정,현시운역:주종혁,금민아역:김인이,금인서역:옥진욱,민솔역:이고은,최이재역:서우승,기유영역:양소민,임헌역:조한결,이제문역:유장영"
20210901,20210901,KBS2,195053,202630,빨강구두,,32회,전국,003537,드라마&영화,드라마,일일연속극,2.43516,3.77405,2.08174,4.12124,5.31345,6.81132,18.65608,2.94364,2.28178,2.07667,4.97292,4.92582,14.83816,22.40254,"민희경역:최명길,김진아역:소이현,윤기석역:박윤재,윤현석역:신정윤,권혜빈역:정유민,권혁상역:선우재덕,권수연역:최영완,최숙자역:반효정,소옥경역:경인선,양선희역:이숙,소태길역:김광영,이건욱역:지상윤,정유경역:하은진"
20210901,20210901,MBC,085223,092144,두번째남편,,16회,전국,002921,드라마&영화,드라마,일일연속극,0.25966,1.06909,0.32441,0.38374,1.17022,1.58663,1.24675,0.20506,0.83963,0.20008,0.78139,0.97325,1.14983,1.78425,"봉선화역:엄현경,윤재민역:차서원,윤재경역:오승아,문상혁역:한기웅,주해란역:지수원,윤대국역:정성모,배달봉역:이호성,정복순역:김희정,양말자역:최지연,문상미역:천이슬,김수철역:강윤,배서준역:신우겸,옥경이역:이칸희,박행실역:김성희,한곱분역:성병숙"
20210901,20210901,MBC,190240,193206,두번째남편,,17회,전국,002926,드라마&영화,드라마,일일연속극,0.28723,0.7632,0.3151,1.9432,2.34736,1.795,5.27036,0.17365,0.7918,0.41742,1.87828,1.31816,4.54236,5.83274,"봉선화역:엄현경,윤재민역:차서원,윤재경역:오승아,문상혁역:한기웅,주해란역:지수원,윤대국역:정성모,배달봉역:이호성,정복순역:김희정,양말자역:최지연,문상미역:천이슬,김수철역:강윤,배서준역:신우겸,옥경이역:이칸희,박행실역:김성희,한곱분역:성병숙"
20210901,20210901,SBS,124042,135232,홍천기,,2회,서울/경기/대전/대구/강원/충남/경북/제주,011150,드라마&영화,드라마,미니시리즈,0.94897,0.18164,0.20663,0.54833,1.43833,0.96496,0.8326,0.14105,0.27994,0.18484,0.39075,0.76853,0.95263,1.45086,"하람역:안효섭,홍천기역:김유정,양명대군(이율)역:공명,주향대군(이후)역:곽시양,삼신(三神)역:문숙,성조역:조성하,최원호역:김광규,한건역:장현성,미수역:채국희,홍은오역:최광일,장주부역:리민,견주댁역:윤사봉,심정우역:하남우,정쇤내역:양현민,안영회역:정동근,강춘복역:정영기,고필(청지기)역:고규필,무영역:송원석,만수역:김현목,서기정역:이상운,차영욱역:홍진기,최정역:홍경,박사력역:배명진,호령역:조예린,성진기역:조원희,간윤국역:박정학,어린하람역:최승훈,어린홍천기역:이남경,하성진역:한상진"
20210901,20210901,OBS,182112,192544,이산,,46회,전국,010432,드라마&영화,드라마,주간연속극,0,0,0.03877,0.00157,0,0.04354,0.19661,0,0.0889,0.16056,0,0.06578,0.34101,0.36025,"정조이산역:이서진,성송연역:한지민,영조역:이순재,정순왕후역:김여진,화완옹주역:성현아,정후겸역:조연우,박대수역:이종수,효의왕후역:박은혜,혜경궁홍씨역:견미리,사도세자역:이창훈,홍국영역:한상진,최석주역:조경환,채제공역:한인수,정약용역:송창의,장태우역:이재용,민주식역:정호근,박제가역:정재곤,남사초역:맹상훈,박달호역:이희도,김정금상궁역:김소이,강미비상궁역:이숙,원빈홍씨역:지성원,화빈윤씨역:유연지,박영문역:신국,초비역:이도은,이천역:지상렬,탁지수역:유민혁,이산어린시절역:박지빈,성송연어린시절역:이한나,박대수어린시절역:권오민,정후겸어린시절역:이인성"
20210901,20210901,tvN,020000,024537,빈센조,,3회,전국,004537,드라마&영화,드라마,미니시리즈,0,0,0,0.23451,0.61305,0,0.45459,0,0,0,0.38065,0.00291,0.02888,0.33026,"빈센조역:송중기,홍차영역:전여빈,장준우역:옥택연,홍유찬역:유재명,최명희역:김여진,장한서역:곽동연,한승혁역:조한철,곽희수역:이항나,탁홍식역:최덕문,적하스님역:리우진,토토역:김형묵,이철욱역:양경원,남주성역:윤병희,래리강역:김설진,안기석역:임철수,채신스님역:권승우,장연진역:서예화,서미리역:김윤혜,박석도역:김영웅,조영운역:최영준,전수남역:이달,김영호역:강채민,미쓰양역:정지윤,오경자역:윤복인"
20210901,20210901,tvN,030503,043238,빈센조,,4회,전국,012735,드라마&영화,드라마,미니시리즈,0,0,0,0.25379,0.01436,0,0.24346,0,0,0,0.31781,0.02584,0.02887,0.15812,"빈센조역:송중기,홍차영역:전여빈,장준우역:옥택연,홍유찬역:유재명,최명희역:김여진,장한서역:곽동연,한승혁역:조한철,곽희수역:이항나,탁홍식역:최덕문,적하스님역:리우진,토토역:김형묵,이철욱역:양경원,남주성역:윤병희,래리강역:김설진,안기석역:임철수,채신스님역:권승우,장연진역:서예화,서미리역:김윤혜,박석도역:김영웅,조영운역:최영준,전수남역:이달,김영호역:강채민,미쓰양역:정지윤,오경자역:윤복인"
20210901,20210901,tvN,152833,164507,갯마을차차차,,1회,전국,011634,드라마&영화,드라마,미니시리즈,0.03711,0.11644,0.03175,0.2172,0.01321,0.3057,0.08348,0.02863,0.28576,0.2603,0.414,0.31276,0.51876,0.16583,"윤혜진역:신민아,홍두식역:김선호,지성현역:이상이,김감리역:김영옥,오춘재역:조한철,표미선역:공민정,여화정역:이봉련,장영국역:인교진,조남숙역:차청화,최은철역:강형석,이맏이역:이용이,박숙자역:신신애,최금철역:윤석현,함윤경역:김주연,유초희역:홍지희,반용훈역:김성범,윤태화역:서상원,이명신역:우미화,왕지원역:박예영,김도하역:이석형,오주리역:김민서,장이준역:기은유,최보라역:고도연,준역:성태,인우역:백승"
20210901,20210901,tvN,170542,182319,갯마을차차차,,2회,전국,011737,드라마&영화,드라마,미니시리즈,1.16866,0.55461,0.14953,0.16685,0.29626,0.63114,0.13931,0.97718,0,0.30424,0.49323,1.04521,0.58537,0.35356,"윤혜진역:신민아,홍두식역:김선호,지성현역:이상이,김감리역:김영옥,오춘재역:조한철,표미선역:공민정,여화정역:이봉련,장영국역:인교진,조남숙역:차청화,최은철역:강형석,이맏이역:이용이,박숙자역:신신애,최금철역:윤석현,함윤경역:김주연,유초희역:홍지희,반용훈역:김성범,윤태화역:서상원,이명신역:우미화,왕지원역:박예영,김도하역:이석형,오주리역:김민서,장이준역:기은유,최보라역:고도연,준역:성태,인우역:백승"
20210901,20210902,tvN,225430,002237,더로드1의비극,,9회,전국,012807,드라마&영화,드라마,미니시리즈,0.04725,0.22668,0.12412,0.12381,0.95741,1.57573,0.39365,0,0.1365,0.18548,0.28304,0.88037,2.26704,0.67395,"백수현역:지진희,서은수역:윤세아,차서영역:김혜은,서기태역:천호진,최남규역:안내상,심석훈역:김성수,오장호역:강성민,배경숙역:강경헌,황태섭역:김뢰하,양성자역:하민,서정욱역:조성준,최세라역:이서,백연우역:김민준,최준영역:남기원,권여진역:백지원,강재열역:오용,윤동필역:이종혁,박성환역:조달환,이미도역:손여은,조문도역:현우성,백수현어린시절역:박상훈"
20210901,20210901,AXN,094010,110350,뻐꾸기둥지,,79회/80회,전국,012340,드라마&영화,드라마,일일연속극,0,0,0,0,0.00763,0,0.0389,0,0,0.00773,0,0,0,0.04894,"백연희역:장서희,정병국역:황동주,이화영역:이채영,유성빈역:부배,백철역:임채무,홍금옥역:엄유신,백준희역:손승우,정진우역:정지훈,이명운역:현우성,곽희자역:서권순,정진숙역:지수원,정유미역:김민좌,오기섭역:이정훈,배추자역:박준금,배찬식역:전노민,이공희역:한경선,이소라역:전민서,최상두역:이창욱,직원역:이하나,이동현역:정민진,소진역:김리원,순남역:허인영,이상순역:이숙,사기꾼역:지상렬,이소라어린시절역:박지소"
